ID,Age,Income,Education,Marital_Status,Total_Spending,Total_Purchases,Total_Children,Recency,NumWebVisitsMonth,Cluster_KMeans,Customer_Segment,Cluster_HAC,HAC_Segment,Cluster_GMM,GMM_Segment
2174,71,46344.0,Graduation,Single,27,6,2,38,5,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
6182,41,26646.0,Graduation,Together,53,8,1,26,6,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
6177,40,33454.0,PhD,Married,169,10,1,32,8,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
4855,51,30351.0,PhD,Together,46,6,1,19,9,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
5899,75,5648.0,PhD,Together,49,2,2,68,20,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
1994,42,51381.5,Graduation,Married,19,4,1,11,7,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
387,49,7500.0,Basic,Married,61,6,0,59,8,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
8180,73,59354.0,Master,Divorced,310,15,2,53,6,2,Standard Customers,1,Standard Customers,0,Budget Shoppers
2569,38,17323.0,Graduation,Married,46,5,0,38,8,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
9736,45,41850.0,Graduation,Married,96,9,2,51,8,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
2278,40,33812.0,2n Cycle,Single,133,8,1,86,6,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
7892,56,18589.0,Graduation,Single,75,8,0,89,7,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
2404,49,53359.0,Graduation,Married,257,14,2,4,7,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
9422,36,38360.0,Graduation,Married,131,9,1,26,3,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
6864,36,10979.0,Master,Divorced,30,8,0,34,5,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
7373,73,46610.0,PhD,Divorced,302,17,2,8,6,2,Standard Customers,2,Budget Shoppers,0,Budget Shoppers
10738,74,49389.0,Master,Single,65,6,2,55,7,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
10755,49,23718.0,2n Cycle,Married,81,9,1,76,7,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
8595,52,42429.0,Graduation,Widow,67,7,1,99,5,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
503,40,20559.0,Master,Married,53,7,1,88,8,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
8430,68,21994.0,Graduation,Together,22,4,1,4,5,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
7281,66,51381.5,PhD,Single,186,9,0,80,2,0,Budget Shoppers,1,Standard Customers,0,Budget Shoppers
2139,50,7500.0,Master,Married,31,8,1,19,5,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
9909,29,7500.0,2n Cycle,Married,122,10,0,24,9,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
7286,57,41728.0,Graduation,Together,55,5,1,92,10,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
7244,74,51381.5,Graduation,Single,124,10,3,96,6,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
1331,48,35790.0,Graduation,Single,72,7,1,54,7,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
7437,37,27938.0,Graduation,Single,29,6,1,31,3,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
8557,43,51381.5,Graduation,Single,46,7,1,57,6,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
