ID,Age,Income,Education,Marital_Status,Total_Spending,Total_Purchases,Total_Children,Recency,NumWebVisitsMonth,Cluster_KMeans,Customer_Segment,Cluster_HAC,HAC_Segment,Cluster_GMM,GMM_Segment
5524,68,58138.0,Graduation,Single,1617,25,0,58,7,1,Premium Customers,0,Premium Customers,2,Standard Customers
2174,71,46344.0,Graduation,Single,27,6,2,38,5,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
4141,60,71613.0,Graduation,Together,776,21,0,26,4,2,Standard Customers,0,Premium Customers,2,Standard Customers
6182,41,26646.0,Graduation,Together,53,8,1,26,6,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
5324,44,58293.0,PhD,Married,422,19,1,94,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
7446,58,62513.0,Master,Together,716,22,1,16,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
965,54,55635.0,Graduation,Divorced,590,21,1,34,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
6177,40,33454.0,PhD,Married,169,10,1,32,8,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
4855,51,30351.0,PhD,Together,46,6,1,19,9,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
5899,75,5648.0,PhD,Together,49,2,2,68,20,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
1994,42,51381.5,Graduation,Married,19,4,1,11,7,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
387,49,7500.0,Basic,Married,61,6,0,59,8,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
2125,66,63033.0,Graduation,Divorced,1102,16,0,82,2,1,Premium Customers,0,Premium Customers,2,Standard Customers
8180,73,59354.0,Master,Divorced,310,15,2,53,6,2,Standard Customers,1,Standard Customers,0,Budget Shoppers
2569,38,17323.0,Graduation,Married,46,5,0,38,8,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
2114,79,82800.0,PhD,Single,1315,26,0,23,3,1,Premium Customers,0,Premium Customers,1,Premium Customers
9736,45,41850.0,Graduation,Married,96,9,2,51,8,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
4939,79,37760.0,Graduation,Together,317,13,0,20,7,0,Budget Shoppers,1,Standard Customers,2,Standard Customers
6565,76,76995.0,Master,Married,1782,26,1,91,5,1,Premium Customers,0,Premium Customers,1,Premium Customers
2278,40,33812.0,2n Cycle,Single,133,8,1,86,6,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
9360,43,37040.0,Graduation,Married,316,12,0,41,8,0,Budget Shoppers,2,Budget Shoppers,2,Standard Customers
5376,46,2447.0,Graduation,Married,1730,43,1,42,1,1,Premium Customers,1,Standard Customers,2,Standard Customers
1993,76,58607.0,PhD,Married,972,17,1,63,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
4047,71,65324.0,PhD,Married,544,20,1,0,4,2,Standard Customers,1,Standard Customers,2,Standard Customers
1409,74,40689.0,Graduation,Together,444,20,1,69,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
7892,56,18589.0,Graduation,Single,75,8,0,89,7,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
2404,49,53359.0,Graduation,Married,257,14,2,4,7,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
5255,39,51381.5,Graduation,Single,637,27,1,19,1,2,Standard Customers,1,Standard Customers,2,Standard Customers
9422,36,38360.0,Graduation,Married,131,9,1,26,3,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
1966,60,84618.0,PhD,Married,1672,26,0,96,2,1,Premium Customers,0,Premium Customers,1,Premium Customers
6864,36,10979.0,Master,Divorced,30,8,0,34,5,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
3033,62,38620.0,Master,Together,318,11,0,56,3,0,Budget Shoppers,1,Standard Customers,2,Standard Customers
5710,55,40548.0,Graduation,Together,120,9,1,31,5,0,Budget Shoppers,1,Standard Customers,2,Standard Customers
7373,73,46610.0,PhD,Divorced,302,17,2,8,6,2,Standard Customers,2,Budget Shoppers,0,Budget Shoppers
8755,79,68657.0,Master,Married,1196,18,0,4,7,1,Premium Customers,0,Premium Customers,2,Standard Customers
10738,74,49389.0,Master,Single,65,6,2,55,7,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
4339,55,67353.0,PhD,Married,913,28,1,37,2,2,Standard Customers,1,Standard Customers,2,Standard Customers
10755,49,23718.0,2n Cycle,Married,81,9,1,76,7,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
8595,52,42429.0,Graduation,Widow,67,7,1,99,5,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
2968,82,48948.0,PhD,Divorced,902,24,0,53,6,1,Premium Customers,1,Standard Customers,2,Standard Customers
8601,45,80011.0,Graduation,Married,1395,21,1,3,4,1,Premium Customers,0,Premium Customers,2,Standard Customers
503,40,20559.0,Master,Married,53,7,1,88,8,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
8430,68,21994.0,Graduation,Together,22,4,1,4,5,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
7281,66,51381.5,PhD,Single,186,9,0,80,2,0,Budget Shoppers,1,Standard Customers,0,Budget Shoppers
2139,50,7500.0,Master,Married,31,8,1,19,5,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
1371,49,79941.0,Graduation,Single,984,16,0,72,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
9909,29,7500.0,2n Cycle,Married,122,10,0,24,9,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
7286,57,41728.0,Graduation,Together,55,5,1,92,10,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
7244,74,51381.5,Graduation,Single,124,10,3,96,6,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
6566,71,72550.0,PhD,Married,1319,28,2,39,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
8614,68,65486.0,Graduation,Widow,507,17,1,29,2,2,Standard Customers,1,Standard Customers,2,Standard Customers
4114,61,79143.0,Master,Married,1693,29,0,2,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
1331,48,35790.0,Graduation,Single,72,7,1,54,7,0,Budget Shoppers,2,Budget Shoppers,0,Budget Shoppers
2225,48,82582.0,Graduation,Divorced,1617,21,0,54,1,1,Premium Customers,0,Premium Customers,1,Premium Customers
