ID,Age,Income,Education,Marital_Status,Total_Spending,Total_Purchases,Total_Children,Recency,NumWebVisitsMonth,Cluster_KMeans,Customer_Segment,Cluster_HAC,HAC_Segment,Cluster_GMM,GMM_Segment
2114,79,82800.0,PhD,Single,1315,26,0,23,3,1,Premium Customers,0,Premium Customers,1,Premium Customers
6565,76,76995.0,Master,Married,1782,26,1,91,5,1,Premium Customers,0,Premium Customers,1,Premium Customers
1966,60,84618.0,PhD,Married,1672,26,0,96,2,1,Premium Customers,0,Premium Customers,1,Premium Customers
2225,48,82582.0,Graduation,Divorced,1617,21,0,54,1,1,Premium Customers,0,Premium Customers,1,Premium Customers
6260,70,82384.0,Master,Together,1957,27,0,55,1,1,Premium Customers,0,Premium Customers,1,Premium Customers
6853,43,75777.0,Master,Single,1438,21,0,12,1,1,Premium Customers,0,Premium Customers,1,Premium Customers
9369,46,88194.0,2n Cycle,Single,1274,32,1,19,5,1,Premium Customers,0,Premium Customers,1,Premium Customers
4452,68,50388.0,Graduation,Single,372,17,1,3,7,2,Standard Customers,0,Premium Customers,1,Premium Customers
8504,52,79593.0,Graduation,Married,1366,19,0,70,2,1,Premium Customers,0,Premium Customers,1,Premium Customers
4646,74,78497.0,2n Cycle,Married,978,25,0,44,2,1,Premium Customers,0,Premium Customers,1,Premium Customers
999,34,86037.0,Graduation,Single,730,25,0,95,3,1,Premium Customers,0,Premium Customers,1,Premium Customers
1592,55,90765.0,Graduation,Married,1724,15,0,25,1,1,Premium Customers,0,Premium Customers,1,Premium Customers
7215,42,101970.0,Graduation,Single,1135,27,0,69,2,1,Premium Customers,0,Premium Customers,1,Premium Customers
10240,76,69372.0,Graduation,Together,1381,21,0,10,4,1,Premium Customers,0,Premium Customers,1,Premium Customers
10314,77,83837.0,PhD,Married,1318,25,0,79,4,1,Premium Customers,0,Premium Customers,1,Premium Customers
6935,74,78497.0,2n Cycle,Married,978,25,0,44,2,1,Premium Customers,0,Premium Customers,1,Premium Customers
9938,71,80067.0,Graduation,Married,1600,17,0,82,2,1,Premium Customers,0,Premium Customers,1,Premium Customers
2798,48,102160.0,PhD,Together,1240,26,0,54,4,1,Premium Customers,0,Premium Customers,1,Premium Customers
