ID,Age,Income,Education,Marital_Status,Total_Spending,Total_Purchases,Total_Children,Recency,NumWebVisitsMonth,Cluster_KMeans,Customer_Segment,Cluster_HAC,HAC_Segment,Cluster_GMM,GMM_Segment
5524,68,58138.0,Graduation,Single,1617,25,0,58,7,1,Premium Customers,0,Premium Customers,2,Standard Customers
4141,60,71613.0,Graduation,Together,776,21,0,26,4,2,Standard Customers,0,Premium Customers,2,Standard Customers
5324,44,58293.0,PhD,Married,422,19,1,94,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
7446,58,62513.0,Master,Together,716,22,1,16,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
965,54,55635.0,Graduation,Divorced,590,21,1,34,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
2125,66,63033.0,Graduation,Divorced,1102,16,0,82,2,1,Premium Customers,0,Premium Customers,2,Standard Customers
4939,79,37760.0,Graduation,Together,317,13,0,20,7,0,Budget Shoppers,1,Standard Customers,2,Standard Customers
9360,43,37040.0,Graduation,Married,316,12,0,41,8,0,Budget Shoppers,2,Budget Shoppers,2,Standard Customers
5376,46,2447.0,Graduation,Married,1730,43,1,42,1,1,Premium Customers,1,Standard Customers,2,Standard Customers
1993,76,58607.0,PhD,Married,972,17,1,63,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
4047,71,65324.0,PhD,Married,544,20,1,0,4,2,Standard Customers,1,Standard Customers,2,Standard Customers
1409,74,40689.0,Graduation,Together,444,20,1,69,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
5255,39,51381.5,Graduation,Single,637,27,1,19,1,2,Standard Customers,1,Standard Customers,2,Standard Customers
3033,62,38620.0,Master,Together,318,11,0,56,3,0,Budget Shoppers,1,Standard Customers,2,Standard Customers
5710,55,40548.0,Graduation,Together,120,9,1,31,5,0,Budget Shoppers,1,Standard Customers,2,Standard Customers
8755,79,68657.0,Master,Married,1196,18,0,4,7,1,Premium Customers,0,Premium Customers,2,Standard Customers
4339,55,67353.0,PhD,Married,913,28,1,37,2,2,Standard Customers,1,Standard Customers,2,Standard Customers
2968,82,48948.0,PhD,Divorced,902,24,0,53,6,1,Premium Customers,1,Standard Customers,2,Standard Customers
8601,45,80011.0,Graduation,Married,1395,21,1,3,4,1,Premium Customers,0,Premium Customers,2,Standard Customers
1371,49,79941.0,Graduation,Single,984,16,0,72,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
6566,71,72550.0,PhD,Married,1319,28,2,39,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
8614,68,65486.0,Graduation,Widow,507,17,1,29,2,2,Standard Customers,1,Standard Customers,2,Standard Customers
