Country,Trade_Openness,GDP_per_Capita,Export_Import_Ratio,Gross Domestic Product (GDP),Total_Trade,Population,Region,Trade_per_Capita,GDP_Size_Category,Cluster,Cluster_Name
Afghanistan,51.455648212989146,499.54285196036534,0.4216482558102757,18290678345.0,9393942739.428572,36794442.71428572,Asia,255.30873812586114,Small,0,Trade-Dependent (Open)
Albania,73.1946435364928,4984.45560331161,0.6603639193219983,14316883854.142857,10471247369.571428,2873622.0,Europe,3643.919544592653,Small,0,Trade-Dependent (Open)
Algeria,54.19318572506872,3935.438681422291,0.7347631581184603,164571428571.42856,89465634080.71428,41897291.28571428,Africa,2135.3560417692056,Small,0,Trade-Dependent (Open)
Andorra,65.36484624439996,40416.1270349607,1.0881178380889698,3038968657.428571,1990255031.857143,75173.28571428571,Europe,26475.56260107599,Small,0,Trade-Dependent (Open)
Angola,58.020258278602746,3015.7523952142205,1.7240330515605589,92641581001.14285,53946194348.71429,31292925.14285714,Africa,1723.9102481612504,Small,0,Trade-Dependent (Open)
Anguilla,174.09473503985691,20646.766558576648,0.7476273200990935,312954497.5714286,542596449.8571428,15178.857142857143,Americas,35746.85793208598,Small,0,Trade-Dependent (Open)
Antigua and Barbuda,90.37871278878177,16102.27578681056,0.8992730500878671,1475183597.857143,1329107185.2857144,91607.14285714286,Americas,14508.772392982457,Small,0,Trade-Dependent (Open)
Argentina,28.62475554371661,11923.87187466376,1.0247067286139786,527571428571.4286,148287834672.42856,44350264.28571428,Americas,3343.5614659954513,Small,0,Trade-Dependent (Open)
Armenia,81.61166484003881,4297.271690028463,0.7632120466398302,12172468748.285715,9982977826.0,2835727.714285714,Asia,3520.428909908437,Small,0,Trade-Dependent (Open)
Aruba,139.86449018471086,28842.708867084577,0.9778213872883282,3049455800.142857,4282929035.857143,105728.0,Americas,40508.93836880621,Small,0,Trade-Dependent (Open)
Australia,43.11980049086802,56982.35856927229,1.110449923273866,1422857142857.1428,615571428571.4286,24933401.57142857,Oceania,24688.626090906822,Small,0,Trade-Dependent (Open)
Austria,105.12070397467076,48734.42278370837,1.0599868203968603,430000000000.0,453000000000.0,8818102.285714285,Europe,51371.59734854516,Small,0,Trade-Dependent (Open)
Azerbaijan,82.73720596032726,4575.743496959146,1.2316872818662854,46344539268.57143,38098679393.57143,10127787.57142857,Asia,3761.796850977734,Small,0,Trade-Dependent (Open)
Bahamas,70.32375718369578,29536.165562867187,0.8568076619279914,11844401428.571428,8374511428.571428,401219.0,Americas,20872.66911230881,Small,0,Trade-Dependent (Open)
Bahrain,147.3649397547244,24480.343798748712,1.1513007444126788,35543822188.57143,52430015197.71429,1450128.4285714286,Asia,36155.4288328551,Small,0,Trade-Dependent (Open)
Bangladesh,30.685680463442477,1944.6893308492815,0.6989534963428653,319428571428.5714,96672507903.28572,163626559.14285713,Asia,590.8118364750555,Small,0,Trade-Dependent (Open)
Barbados,75.6763761283273,17610.608704847946,0.8574537860678477,4925174857.142858,3726642285.714286,279668.5714285714,Americas,13325.209431572066,Small,0,Trade-Dependent (Open)
Belarus,128.91555544774525,6101.9936742467735,1.0213652714738142,58988970186.42857,76251507056.14285,9671149.57142857,Europe,7884.430541888453,Small,0,Trade-Dependent (Open)
Belgium,162.51893085797033,45411.0477843068,1.0123723623689291,519857142857.1429,847000000000.0,11440275.285714285,Europe,74036.67996150992,Small,1,Trade Hub (Rich & Open)
Belize,96.19810733954432,6022.648893437805,0.9784024466422163,2294084041.857143,2211926322.0,381141.4285714286,Americas,5803.426644777529,Small,0,Trade-Dependent (Open)
